name,lat,lon,type,opening_hours
Abir Car Selection,23.978505,90.380864,shop_car_repair,
Abir Cycle,23.718081,90.407053,shop_bicycle,
"Abir Enterprises, Majhirghat-Kazirhat Rd, Zajira",23.406352,90.27933,shop_yes,
Abir Foods,23.824221,90.362508,restaurant,
Abir General Store,23.991269,90.243367,shop_yes,
"Abir Medicine Corner, Pharmacy",24.027811,90.242308,pharmacy,
Abir Traders,23.722113,90.405651,shop_trade,
Abloom Cafeteria,23.602486,89.835358,restaurant,Mo-Su 10:00-22:00
Abloom Cafeteria প্রস্ফুটিত ক্যাফেটেরিয়া,23.608142,89.843408,restaurant,
Abmir Fasion Point,23.78996,90.366257,shop_clothes,
Abong এবং,23.600252,89.833782,shop_clothes,
Abonno Auto Parts,23.707573,90.412575,shop_car_parts,
Abrar Cycle Store,23.717752,90.406984,shop_bicycle,
Abu Huraira Madrasa,23.609917,90.495613,school,
Abu Sayed High School,24.025652,89.856925,school,
Abu Sayeed General Store,23.750632,90.406651,shop_convenience,
Abudanga Bojlur Rahman High School,23.91747,89.816691,school,
Abul Electronics,23.758501,90.413053,shop_electronics,
Abul Electronics,23.758553,90.413013,shop_electronics,
"Abul Hasem Model Academy, School",23.956512,90.380212,school,
Abul Hasem Super Market আবুল হাসেম সুপার মার্কেট,24.220088,90.413566,shop_mall,
"Abul Hashem Bepari Vidyaniketan, School",24.213459,90.41546,school,
Abul Hashem Super Market,24.328129,90.679848,building_commercial,
Abul Hossain Auto Dry Cleaner's,23.851563,90.417713,shop_laundry,
Abul Hotel,23.754639,90.415394,restaurant,
Abul Kashem Febricks,23.796602,90.350345,shop_fabric,
Abul Sarder Store,23.785771,90.412072,shop_tea,
Abul molla tea store,23.811194,90.356549,shop_tea,
Academia,23.745954,90.374085,school,
Academia,23.754997,90.364431,school,
Academia(একাডেমিয়া),23.822002,90.364888,school,
Academic Building,24.427019,90.652765,school,
Accord Tech Solutions,23.822729,90.366706,building_commercial,
Accounting Building,24.441375,90.773859,college,
Accounting House,23.751293,90.405682,school,
Achahak Cloth Store,23.707641,90.420885,shop_clothes,
Achinto Medical,23.603269,89.836987,pharmacy,
Acquirem,23.710918,90.423719,shop_yes,
Active Social welfare Society Health Clinic(একটিভ সোশাল ওয়েলফেয়ার সোসাইটি হেলথ ক্লিনিক),23.817432,90.368361,clinic,
Ad-Din Medical College Hospital ~ MaghBazar,23.7484,90.405595,hospital,
Ad-Din Women's Medical college & Hospital,23.748503,90.405068,hospital,
Ad-din Barrister Rafiq-ul-haque Hospital,23.695131,90.432736,hospital,
"Ad-din Berrister Rafiq-ul- Haque hospital,Jurain",23.694866,90.43283,hospital,
Ad-din Hospital,23.748846,90.405235,hospital,
"Adabari Government Primary School, Primary school",24.415905,89.903175,school,
Adabor 17/B Jame Mosjid (আদাবর ১৭/বি জামে মসজিদ),23.77596,90.349507,school,
Adabor Kacha Bazar,23.774088,90.357058,shop_supermarket,
Adabor Pharmacy-2,23.773957,90.357158,pharmacy,08:00-20:00
Adam Ali Market Kacha Bazar,23.876419,90.406137,shop_mall,
Adam's Corner Barbar Shop,23.75598,90.375295,shop_hairdresser,"Mo, We-Su 09:00-22:00"
Adamjee Cantonment College,23.794686,90.394315,college,
Adamjee Cantonment Public School,23.793546,90.393277,school,
Adamji Court Annex Building,23.728533,90.415878,building_commercial,
Adarsh Balika Uscha Biddalay,23.602693,89.835714,school,
Adarsha High School,23.806781,90.37083,school,
"Adarsha High School, High school",23.806857,90.370502,school,
"Adarsha Homeo Hall, Pharmacy, Par Gendaria, Mir Hajirbag, Jatrabari, Dhaka",23.708482,90.427576,pharmacy,
Adarsha Homeo Pharmacy,23.768116,90.362318,pharmacy,
Adarsha Homeo Pharmacy,23.768181,90.362283,pharmacy,
Adarsha Medical,23.588707,89.833622,pharmacy,
Adarsha Organic Food,23.808752,90.364215,shop_health_food,
Adarsha Panzabi Tailor,23.701475,90.428728,shop_tailor,
"Adarsha bikrampur mishtanno vandar, Keraniganj - Hashara Rd, Solepur",23.586341,90.309551,pharmacy,
Adarsha high school gate,23.806887,90.370741,school,
Adarsho Homio Hall,23.846532,90.246817,pharmacy,
Adarsho Pushpo,23.736791,90.395789,shop_florist,
Adda,23.79534,90.373763,restaurant,
Adda,22.964948,89.816271,shop_tea,
Adda Dot Com,23.810168,90.368545,cafe,
Adda Restaurant and Part Center,23.741894,90.382463,restaurant,
"Addersha Bidda Niketon, Manikdi",23.825212,90.394078,school,
Addprint,23.75099,90.409241,shop_bookmaker,
Adharsho High School,23.78194,90.37875,school,
Adhonik laundry,23.755133,90.409475,shop_laundry,
Adhunic  Cycle Store,23.717989,90.407058,shop_bicycle,
Adhunic Screen Print,23.734142,90.38338,shop_paint,
Adhunik Dental Care,23.588265,89.834123,pharmacy,
Adhunik Ghor,23.735923,90.38923,shop_paint,
